,class,problem,code,answer,semantics
0,8,한 변의 길이가 24cm인 정육각형과 둘레가 같은 정팔각형이 있습니다. 이 정팔각형의 한 변의 길이는 몇 cm인지 구하시오.,"a = 24
b = 6
c = 8
y = a * b / c
print(y)",18,한 변의 길이 가 24 cm 인 정육각형 과 둘레 가 같 은 정팔각형 이 있 습니다 . 이 정팔각형 의 한 변의 길이 는 몇 cm 인지 구하 시 오 .
1,1,윤아는 부추전을 똑같이 8조각으로 나누어 한 조각을 먹었습니다. 윤미는 같은 크기의 부추전을 똑같이 16 조각으로 나누었습니다. 윤아와 같은 양을 먹으려면 윤미는 몇 조각을 먹어야 할까요?,"a = 8
b = 16
y = b / a
print(y)",2,윤아 는 부 추전 을 똑같이 8 조각 으로 나누 어 한 조각 을 먹 었 습니다 . 윤미 는 같 은 크기 의 부추 전 을 똑같이 16 조각 으로 나누 었 습니다 . 윤아 와 같 은 양 을 먹 으려면 윤미 는 몇 조각 을 먹 어야 할까요 ?
2,8,"화단 주변에 한 변이 12m인 정팔각형 모양의 울타리를 두른다면, 울타리는 모두 몇 m일까요?","a = 12
b = 8
y = a * b
print(y)",96,"화단 주변 에 한 변이 12 m 인 정팔각형 모양 의 울타리 를 두른 다면 , 울타리 는 모두 몇 m 일까요 ?"
3,3,"6장의 숫자 카드 0, 9, 8, 7, 2, 1가 있습니다. 이를, 한 번씩 사용하여 가장 큰 여섯 자리 수를 만들어 쓰시오.","from itertools import permutations

a = ['0', '9', '8', '7', '2', '1']
y = max(list(map(''.join, permutations(a, 6))))
print(y)",987210,"6 장 의 숫자 카드 0 , 9 , 8 , 7 , 2 , 1 가 있 습니다 . 이 를 , 한 번 씩 사용 하 여 가장 큰 여섯 자리 수 를 만들 어 쓰 시 오 ."
4,1,0.26 x 0.8을 계산해 주세요.,"a = 0.26
b = 0.8
y = a * b
print(y)",0.21,0 . 26 x 0 . 8 을 계산 해 주 세요 .
5,7,어떤 수를 3으로 나누어야 하는 것을 잘못하여 9로 나누었더니 몫이 9가 되었습니다. 바르게 계산하면 얼마인지 구하시오.,"a = 4 / 5
b = 1 / 3
c = 0.9
dicts = {'미용실': a, '병원': b, '백화점': c}
y = min(dicts, key=dicts.get)
print(y)",병원,어떤 수 를 3 으로 나누 어야 하 는 것 을 잘못 하 여 9 로 나누 었 더니 몫 이 9 가 되 었 습니다 . 바르 게 계산 하 면 얼마 인지 구하 시 오 .
6,6,어떤 수를 3으로 나누어야 하는 것을 잘못하여 9로 나누었더니 몫이 9가 되었습니다. 바르게 계산하면 얼마인지 구하시오.,"a = 3
b = 9
c = 9
y = c * b / a
print(y)",27,어떤 수 를 3 으로 나누 어야 하 는 것 을 잘못 하 여 9 로 나누 었 더니 몫 이 9 가 되 었 습니다 . 바르 게 계산 하 면 얼마 인지 구하 시 오 .
7,1,"나은이네 모둠과 도진이네 모둠이 전철를 나누어 탔습니다. 나은이네 모둠 8명은 15인승 칸에 탔고, 도진이네 모둠 6명은 11인승 칸에 탔습니다. 더 넓게 느껴졌을 모둠의 전철 인승에 대한 모둠 인원 수를 구하세요.","a = 8
b = 15
c = 6
d = 11
dicts = {a: b/a, c: d/c}
y = max(dicts, key=dicts.get)
print(y)",8,"나 은 이 네 모둠 과 도진 이 네 모둠 이 전철 를 나누 어 탔 습니다 . 나 은 이 네 모둠 8 명 은 15 인승 칸 에 탔 고 , 도진 이 네 모둠 6 명 은 11 인승 칸 에 탔 습니다 . 더 넓 게 느껴졌 을 모둠 의 전철 인승 에 대한 모둠 인원 수 를 구하 세요 ."
8,7,"수정이가 가지고 있는 색연필의 길이는 6.1센티미터 , 볼펜의 길이는 6.5센티미터입니다. 둘중 어떤것이 더 길이가 긴가요?","dicts = {""색연필"": 6.1, ""볼펜"": 6.5}
y = max(dicts, key=dicts.get)
print(y)",볼펜,"수정 이 가 가지 고 있 는 색연필 의 길이 는 6 . 1 센티미터 , 볼펜 의 길이 는 6 . 5 센티미터 입니다 . 둘 중 어떤 것 이 더 길 이 가 긴가요 ?"
9,1,두발자전거 12대의 바퀴는 모두 몇 개인지 찾아보시오.,"a = 2
b = 12
y = a * b
print(y)",24,두발자전거 12 대 의 바퀴 는 모두 몇 개 인지 찾아보 시 오 .
10,1,진호가 가진 줄자의 길이는 6m 15 cm 이고 두은이가 가진 줄자의 길이는 0.25 m입니다. 진호와 두은이가 가진  줄자의 길이 합은 몇 cm인지 구해 보세요.,"a = (6 * 100) + 15
b = (0.25 * 100)
y = a + b
print(y)",640,진호 가 가진 줄자 의 길이 는 6 m 15 cm 이 고 두 은 이 가 가진 줄자 의 길이 는 0 . 25 m 입니다 . 진호 와 두 은 이 가 가진 줄자 의 길 이 합 은 몇 cm 인지 구해 보 세요 .
11,1,영화가 5시에 시작하여 4시간 동안 하였습니다. 영화가 끝난 시각은 몇 시일까요?,"a = 5
b = 4
y = a + b
print(y)",9,영화 가 5 시 에 시작 하 여 4 시간 동안 하 였 습니다 . 영화 가 끝난 시각 은 몇 시 일까요 ?
12,1,"현규는 하루에 물을 10L사용합니다. 수압 밸브를 약하게 조절하면 평소 사용량의 0.3배만큼 아낄 수 있다면, 수압 밸브를 약하게 조절했을 때 현규가 하루 동안 아낄 수 있는 물은 몇 L인가요?","a = 10
b = 0.3
y = a * b
print(y)",3,"현규 는 하루 에 물 을 10 L 사용 합니다 . 수압 밸브 를 약하 게 조절 하 면 평소 사용량 의 0 . 3 배 만큼 아낄 수 있 다면 , 수압 밸브 를 약하 게 조절 했 을 때 현규 가 하루 동안 아낄 수 있 는 물 은 몇 L 인가요 ?"
13,1,"어떤 수에 3을 곱했더니 15가 되었다면, 어떤 수는 얼마입니까?","a = 15
b = 3
y = a / b
print(y)",5,"어떤 수 에 3 을 곱했 더니 15 가 되 었 다면 , 어떤 수 는 얼마 입니까 ?"
14,8,네변의 길이의 합이 40m인 정사각형이 있습니다. 이 안에 그릴 수 있는 가장 큰 원의 넓이는 몇 cm²인지 구해보시오. (원주율: 3.14),"a = 40
b = 4
c = a / b
d = 3.14
y = (c / 2) ** 2 * d
print(y)",78.50,네 변의 길이 의 합 이 40 m 인 정사각형 이 있 습니다 . 이 안 에 그릴 수 있 는 가장 큰 원 의 넓이 는 몇 cm ² 인지 구해 보 시 오 . ( 원주율 : 3 . 14 )
15,8,네 변의 길이의 합이 88 cm인 정사각형의 한 변의 길이는 몇 cm일까요?,"a = 88
y = a / 4
print(y)",22,네 변의 길이 의 합 이 88 cm 인 정사각형 의 한 변의 길이 는 몇 cm 일까요 ?
