,class,problem,code,answer
2264,3,"숫자 카드 5, 3, 1, 7, 8를 한 번씩 사용하여 가장 큰 수를 만들어 보세요.<sys>3<sys>","a = [5, 3, 1, 7, 8]
a.sort(reverse=True)
b = list(map(str, a))
y = """".join(b)
print(y)",87531
1747,1,1분에 0.6리터의 약수가 나오는 약수터가 있습니다.이 약수터에서 22분 동안 약수를 받으면 몇 리터가 될까요?<sys>1<sys>,"a = 0.6
b = 22
y = a * b
print(""{:.2f}"".format(y))",13.20
0,8,한 변의 길이가 24cm인 정육각형과 둘레가 같은 정팔각형이 있습니다. 이 정팔각형의 한 변의 길이는 몇 cm인지 구하시오.<sys>8<sys>,"a = 24
b = 6
c = 8
y = a * b // c
print(y)",18
2201,2,"학생들이 키가 작은 순서대로 줄을 서있다. 승철이의 키는 열 다섯번째로 작고, 동현의 키는 열 세번째로 작다. 대건이의 키는 동현이보다 작고 승철이보다 크다면 대건이는 몇 번째에 서 있나요?<sys>2<sys>","a = 15
b = 13
y = (a + b) // 2
print(y)",14
2500,7,"은현이가 피자 전체의 1/6을 먹고, 서주가 1/5을 먹고, 동주가 전체의 1/4을 먹었다면, 피자를 가장 많이 먹은 사람은 누구입니까?<sys>7<sys>","a = 1 / 6
b = 1 / 5
c = 1 / 4
dicts = {'은현': a, '서주': b, '동주': c}
y = max(dicts, key=dicts.get)
print(y)",동주
2564,1,"식용유 70리터를 한 병에 10리터씩 담으려고 한다면, 몇개의 병에 넣어야 식용유를 남김없이 넣을 수 있습니까?<sys>1<sys>","a = 70
b = 10
y = int(a // b)
print(y)",7
703,5,용돈을 언니와 연수가 4:3로 나누어 가졌더니 효주가 30000원을 가졌습니다. 처음에 있던 용돈은 총 얼마입니까?<sys>5<sys>,"a = 4
b = 3
c = 30000
y = (a * c // b) + c 
print(y)",70000
2431,1,밀가루를 반죽하여  기름에 지진 전 종류를 전병이라고 합니다. 그 위에   꽃잎을 3장씩 붙여서 꽃전병을 12개 만들었습니다. 사용한 꽃잎은 모두 몇 장이 될까요?<sys>1<sys>,"a = 3
b = 12
y = a * b
print(y)",36
1536,1,"길이가 52m인 도로의 한쪽에 처음부터 끝까지 2m간격으로 가로등을 설치하려고 합니다. 필요한 가로등은 모두 몇 개입니까? (단, 나무의 두께는 생각하지 않습니다.)<sys>1<sys>","a = 52
b = 2
y = a // b + 1 
print(y)",27
178,1,명수는 시골 할머니 댁에서 포도를 55개 가져왔습니다. 다섯 집이 똑같이 나누어 먹으려고 합니다. 한 집에서 몇 개 씩 먹게 됩니까?<sys>1<sys>,"a = 55
b = 5
y = a // b
print(y)",11
1337,8,한 변의 길이가 5cm인 마름모의 둘레를 구하시오.<sys>8<sys>,"a = 5
b = 4
y = a * b
print(y)",20
984,7,"빵을 만드는 데 밀가루를 민수는 3/10봉지, 진석이는 1/3봉지 사용했습니다. 누가 밀가루를 더 많이 사용했는지 구해 보시오.<sys>7<sys>","a = 3/10
b = 1/3
dicts = {'민수': a, '진석': b}
y = max(dicts, key=dicts.get) 
print(y)",진석
411,3,"숫자 7, 29, 3, 56, 12가 있습니다. 이중에서, 가장 작은 두 자리 수와 가장 작은 한 자리 수의 곱은?<sys>3<sys>","a = [7, 29, 3, 56, 12]
b = []
c = []
for i in a:
    if i < 10:
        c.append(i)
    else:
        b.append(i)
y = min(b) * min(c)
print(y)",36
1009,1,서울에서 부여까지는 254km입니다. 한 시간에 39km를 가는 자동차로 서울에서 출발하여 부여까지 가려고 합니다. 4시간을 갔다면 남은 거리는 몇 km일까요?<sys>1<sys>,"a = 254
b = 39
c = 4
y = a - (b * c)
print(y)",98
128,8,"정사각형 안에 가장 큰 원을 그렸을 때, 원의 반지름은 32센티미터라면, 정사각형의 한 변의 길이는 몇 센티미터 입니까?<sys>8<sys>","a = 32
b = a * 2
y = b
print(y)",64
2802,1,"진오의 한 걸음은 약 20센티미터입니다. 진오네 집에서 도서관까지의 거리는 약 1000미터라면, 진오가 집에서 도서관까지 가려면 약 몇 걸음을 걸어야 합니까?<sys>1<sys>","a = 25
b = 1000
c = b * 100
y = c // a
print(y)",4000
1730,1,학생 100명이 짝짓기놀이를 하고 있습니다. 1회에서는 8명씩 짝을 지었고 2회에서는 1회에서 짝을 지은 학생들 중에서 7명씩 짝을 지었습니다. 1회와 2회에서 짝을 짓지 못한 학생은 모두 몇 명일까요?<sys>1<sys>,"a = 100
b = 8
c = 7
y = (a % b) + (a // b % c)
print(y)",9
2769,8,모서리가 15개인 각기둥의 꼭지점 개수를 구하세요.<sys>8<sys>,"a = 15
b = 3
c = a // b
y = c * 2
print(y)",10
2364,1,1 L 들이 물통에 물이 가득 들어 있습니다. 수현이가 컵으로 가득  4번 덜어 내었더니 물은 0.8L 가 남았습니다. 컵의 들이는 몇 L 인지 소수로 나타내어라.<sys>1<sys>,"a = 1
b = 4
c = 0.8
y = (a - c) / b
print(""{:.2f}"".format(y))",0.05
425,1,"도로의 한 쪽에 33그루의 가로수가 10미터 간격으로 심어져 있다면, 이 도로의 길이는 몇 미터입니까?<sys>1<sys>","a = 33
b = 10
y = a * b
print(y)",330
1749,3,"숫자 카드 2, 5, 9, 1, 8가 있습니다. 카드를 한 번씩 사용하여 만들 수 있는 가장 작은 수를 구하시오.<sys>3<sys>","a = [2, 5, 9, 1, 8]
a.sort()
b = list(map(str, a))
y = """".join(b)
print(y)",12589
1307,6,어떤 수에다가 5를 곱하고 3을 더한 후 17을 빼면 36입니다. 어떤 수를 구하세요.<sys>6<sys>,"a = 5
b = 3
c = 17
d = 36
y = (d + c - b) // a
print(y)",10
897,8,넓이가 49제곱미터인 정사각형의 둘레는 몇 미터일까요?<sys>8<sys>,"import math

a = 49
y = 4 * int(math.sqrt(a))
print(y)",28
789,1,"상자 안에 공이 12개 있습니다. 석진이가 10개의 공을 상자 안에 더 넣었다면, 상자 안에 있는 공은 모두 몇 개입니까?<sys>1<sys>","a = 12
b = 10
y = a + b
print(y)",22
886,8,넓이가 95센티미터제곱인 마름모의 한 대각선이 5cm일 때 다른 대각선은 몇 cm 입니까?<sys>8<sys>,"a = 95
b = 5
y = int(a * 2 / b)
print(y)",38
