,class,problem,code,answer
0,4,"53을 어떤 수로 나누면 나머지가 2이고, 56을 어떤 수로 나누면 나머지가 8입니다. 어떤 수가 될 수 있는 수를 구해 보세요.","import math
a = 53
b = 2
c = 56
d = 8
y = math.gcd(a - b, c - d)
print(y)",3
1,4,"숫자 카드 2, 6, 4, 7, 5 가 있습니다. 숫자 카드 중에서 4장을 골라 한 번씩만 사용해 (세 자리 수)÷(한 자리 수)의 나눗셈식을 만들려고 합니다. 몫이 가장 작은 나눗셈식의 몫과 나머지를 더한 값을 계산해보세요. ","from itertools import permutations

a = ['2', '6', '4', '7', '5']
b = int(min(map(''.join, permutations(a, 3))))
c = int(max(a))
y = b // c + b % c
print(y)",35
2,4,1부터 9까지의 수 중에서 다음 식 A*5 > 27를 만족하는 수는 모두 몇 개 일까요?,"a = 1
b = 9
c = 5
d = 27
y = 0
for i in range(a, b + 1):
    if i > (d / c):
        y += 1
print(y)",4
3,4,"수 16, 21, 32, 5, 6, 2 중에서 가장 작은 두 자리 수와 가장 작은 한 자리 수를 곱한 값을 구해보세요.","a = [16, 21, 32, 5, 6, 2]
b = []
c = []
for i in a:
    if i < 10:
        c.append(i)
    else:
        b.append(i)
y = min(b) * min(c)
print(y)",32
4,4,어떤 두 수의 최소공배수가 11일 때 두 수의 공배수 중에서 가장 큰 두 자리 수는 몇 일까요?,"a = 11
b = 100 // a
y = a * b
print(y)",99
5,4,"숫자 15, 2, 9 가 있습니다. 가장 큰 수에서 가장 작은 수를 뺀 값을 구하시오.","a = [15, 2, 9]
y = max(a) - min(a)
print(y)",13
6,4,"숫자 13, 55, 5, 32, 7 중에서, 가장 큰 수를 가장 작은 수로 나눈 몫을 구하시오. ","a = [13, 55, 5, 32, 7]
y = max(a) // min(a)
print(y)",11
7,4,18과 26의 최소공배수를 구하여 보세요.,"import math

a = 18
b = 26
y = a * b // math.gcd(a, b)
print(y)",234
8,4,"A는 4850 × □ = 48.5, B는 69 × □ = 6.9, C는 815 × □ = 0.815입니다. □안에 들어갈 수 중 가장 큰 것을 찾고 얼마인지 구해보시오.","a = 485 / 4850
b = 6.9 / 69
c = 0.815 / 815
y = max(a, b, c)
print(y)",0.1
9,4,"6장의 숫자 카드 0, 9, 5, 6, 7, 1을 한 번씩 사용하여 가장 큰 여섯 자리 수를 만들고 그 수를 써보세요.","from itertools import permutations

a = ['0', '9', '5', '6', '7', '1']
y = max(list(map(''.join, permutations(a, 6))))
print(y)",976510
10,4,"숫자 909990 중에서, 숫자 0은 모두 몇 개인지 구하시오.","a = str(909990)
y = a.count('0')
print(y)",2
11,4,"5개의 수 1.5, 2/10, 1.6, 0.7, 53/25 중에서 1.4보다 큰 수는 모두 몇 개입니까?","a = [1.5, 2/10, 1.6, 0.7, 53/25]
b = 1.4
y = 0
for i in a:
    if i > b:
        y += 1
print(y)",3
12,4,"5장의 숫자 카드 1,2,3,4,5 중에서, 2장을 뽑아 한 번씩만 사용하여 두 자리 수를 만들 때, 9로도 똑같이 나누어지고 5로도 똑같이 나누어지는 수를 구하시오.","from itertools import permutations
a = ['1', '2', '3', '4', '5']
b = 2
c = list(map(int, list((map(''.join, permutations(a,b))))))  
d = 9
e = 5
y = 0
for i in c :
    if (i % d == 0) and (i % e == 0):
        y = i
print(y)",45
13,4,"성은이는 성준이의 집에 가기로 하였습니다. 집 근처에 도착하자 212동, 211동, 207동 아파트가 보였습니다. 성준이는 이 중에서 가장 큰 수인 동에 산다고 하였다면, 성준이가 사는 동은 몇 동 일까요?","a = [212, 211, 207]
y = max(a)
print(y)",212
14,4,"45, 30.5, 34, 23.1, 34, 56가 있습니다. 가장 큰 수에서 가장 작은 수를 뺀 값은 얼마일까요?","a = [45, 30.5, 34, 23.1, 34, 56]
y = max(a) - min(a)
print(y)",32.9
15,4,"47, 45, 66, 50, 53 중에서 45 이하인 수는 모두 몇 개입니까?","a = [47, 45, 66, 50, 53]
b = 45
y = 0
for i in a :
    if i <= b :
        y += 1
print(y)",1
