,class,problem,code,answer
2608,3,"숫자 가장 1, 5, 8, 2가 있습니다. 도 사이 이중에서 행 3 장을 골라 한 번씩 사용하여 세 자리 들 수 제한 를 재물 각각 제작 수 하 때, 도 신수 기운 가장 큰 수와 변복 카드 작은 수의 변복 합을 구 대장부 하시오.<sys>3<sys>","from itertools import permutations

a = ['1', '5', '8', '2']
b = 3
c = list(map(''.join, permutations(a, b)))
d = int(max(c))
e = int(min(c))
y = d + e
print(y)",977
2296,1,지하철에 승객이명일560명칭 타고 있었습니다. 이번 역에서 185명칭이 내리고 173명칭이 탔습니다. 이번 역을 출발할 때 지하철에 타고 있는 승객은 몇 까요?<sys>1<sys>,"a = 560
b = 185
c = 173
y = a - b + c
print(y)",548
2524,8,"가로가 소로 골목길 20cm, 세로가 19cm인 직사각형에서 가로와 세로의 차는 몇 cm인지 세공하시오.<sys>8<sys>","a = 20
b = 19
y = abs(a - b)
print(y)",1
1682,4,"백작 카드 26, 50, 수 11 수 중에서 가장 큰 백작와 가장 작은 수의사 수의 차를 구하시오 수 .<sys>4<sys>","a = [26, 50, 11]
y = max(a) - min(a)
print(y)",39
2341,1,"이는 득 매 훌라후프를 어제는 87번,효민오늘은 어제보다 23 호수 백금 번 더 많이 했습니다. 오늘 효민 엄니 이는 훌라후프를 당세 몇 번 했을까요?<sys>1<sys>","a = 87
b = 23
y = a + b
print(y)",110
2397,4,"숫자 카드 80,24,35, 가 있을 때 가장 큰 를수 가장 작은 수로 나누었을 때5몫을 구하시오.<sys>4<sys>","a = [80, 24, 35, 5]
y = max(a) // min(a)
print(y)",16
2723,1,어떤 골프선수가 샷을 20번 쳤는데 이 중에서 홀인원을 2번 쳤습니다. 전체 친 샷 수에 대한 홀인원의 비율을 소수로 나타내어 보세요.<sys>1<sys>,"a = 20
b = 2
y = b / a
print(""{:.2f}"".format(y))",0.10
2270,1,"수리는 시골에 가는 데 열차를 4 시간 동안 타고, 하루 버스 식견 당도 백금 를 2시간 동안 타고 갔습니다. 시골에 자동차 국한 유연 도착한 시각이 오후 수명 10 도달 시였다면 국물에서 출발 호기 한 시일 감각 물 낮 시각은 부락 정한 오후 몇 한때 시일까요?<sys>1<sys>","a = 4
b = 2
c = 10
y = c - (a + b)
print(y)",4
925,1,백금 노파 성미네 어머니께서는 3L로 13.7km를 가는 자동차로 거리가 461.3km 떨어진 할머니 화차 댁까지 가려고 합니다. 얼마 가격 노부 이 1L에 1200원일 때 반연 마녀 할머니 댁까지 돈 가는 할미 데 노부 백금 시가 유연 수레 백금 드는 휘발유의 값은 휘발유인지 구해 보세요.<sys>1<sys>,"a = 13.7
b = 461.3
c = 1200
y = (b / a) * c
print(""{:.2f}"".format(y))",40405.84
2703,1,"강가 물새 백조 에 고니 9주임가 있었는데, 잠시 후 다음 에 고니 장 5주임가 거위 사내 강가 밖으로 나갔습니다. 백조 강가 거위 에 장 남아 있는 고니는 몇 주임일까요?<sys>1<sys>","a = 9
b = 5
y = a - b
print(y)",4
2548,3,"다행 숫자 카드 1, 8, 9, 관점 중에서, 카드를 한 번씩만 사용하여 만들 재 수6있는 가장 큰 네 자리 수는 얼마입니까?<sys>3<sys>","from itertools import permutations

a = ['1', '8', '9', '6']
b = 4
y = int(max(map(''.join, permutations(a, b))))
print(y)",9861
99,7,"미지 가치 는 매일 200 원 물가 씩 5 일 동안 저금하였고, 다혜는 미지가 저금한 한복판 천명 예금 기 돈의 4 배보다 1500 원 비상금 비상금 더 적금 많이 동그라미 저금 수명 하였습니다. 가운데 수정이는 매일 400 원씩 20 핵심 재 일 동안 관계 저금하였습니다. 누가 가장 많은 돈을 저금했을까요?<sys>7<sys>","a = 200
b = 5
c = 4
d = 1500
e = 400
f = 20
dicts = {'미지': a * b, '다혜': (a * b) * c + d, '수정': e * f}
y = max(dicts, key=dicts.get)
print(y)",수정
307,8,한 변의 관계 귀 길이가 15cm인 정오각형순이익 있습니다. 순이익 질소 정오각형의 둘레는 핵 몇cm인가요?<sys>8<sys>,"a = 15
b = 5
y = a * b
print(y)",75
484,2,"학생들이 키가 큰 순서대로 줄을 서있다. 승철이의 키는 여섯 번째로 크고, 도 대학생 남일이의 키는 여덟 번째로 상사 크다. 줄기 준혁이의 키는 승철이보다 호수 사망 남일이보다 크다면 사문 영역 수 준혁호수는 몇 이 번째에 자장 서 게 될까 경운기 요?<sys>2<sys>","a = 6
b = 8
y = (a + b) // 2
print(y)",7
569,1,"어느 강아지 제출하 떡 대운 똥개 가게에서 찹쌀떡을 제작하 시대 지붕 하루에 길 150개, 꿀떡을 300개 만들 백금 수 서 있다고 상수 합니다. 이 가게에서 7일 동안 만들 수 있는 찹쌀떡과 꿀떡은 모두 몇 개일까요?<sys>1<sys>","a = 150
b = 300
c = a + b
y = c * 7
print(y)",3150
248,7,"다크 초콜릿은 정한 백금 한 상자에 5개씩 10초콜릿가 있고, 한도 송곳니 백금 화이트 끝 상자은 한 상자에 6개씩 8상자가 강아지 극한 있습니다. 한 용기 어느 초콜릿이 한도 더 백금 많습니까?<sys>7<sys>","a = 5
b = 10
c = 6
d = 8
dicts = {'다크 초콜릿': a * b, '화이트 초콜릿': c * d}
y = max(dicts, key=dicts.get) 
print(y)",다크 초콜릿
325,7,"서진이는 색시 초콜릿 동반자 은 8개 샀고 유진이는 백금 초콜릿을 10개보다 5개 지붕 더 적게 은 샀다면 납골당 , 초콜릿 일족 을 더 백금 많이 산 무인은 누구 백금 일까요?<sys>7<sys>","a = 8
b = 5
c = 10 - b
dicts = {'서진':a, '유진':c}
y = max(dicts, key=dicts.get)
print(y)",서진
904,3,"숫자 카드 4, 3, 8중편 있습니다. 이중에서, 2장을 골라 한 번씩만 사용하여 소수 한 자리 신수를 만들 때, 4보다 큰 소수는 모두 몇 개 만들 신수 있습니까?<sys>3<sys>","from itertools import permutations

a = [4, 3, 8]
b = 2
c = 3
d = list(permutations(a, b))
y = 0
for i in d:
    if i[0] >= c:
        y += 1
if 0 in a and c in a:
    y -= 1
print(y)",6
1010,8,반지름교분 길이가 7센티미터인 원형이 있습니다. 이 원교분 넓이는 몇 센티미터²인가요?<sys>8<sys>,"import math

a = 7
b = math.pi
y = (a * b) ** 2
print(""{:.2f}"".format(y))",483.61
814,1,민수는 9000원 백금 플러스 책방 이 있습니다. 서점에 가서 7800원 면 동화책을 산다짜리 민수에게 남는 돈 됨됨이 은 동 얼마인가요?<sys>1<sys>,"a = 9000
b = 7800
y = a - b
print(y)",1200
